Disease_name,Gene_name,Gene_ID,Tissue
"Charcot-Marie-Tooth disease, type 2J",MPZ,ENSG00000158887,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1F",NEFL,ENSG00000277586,Peripheral nerve
"Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism",POLR3A,ENSG00000148606,Peripheral nerve
Usher syndrome type 3B,HARS1,ENSG00000170445,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2N",AARS1,ENSG00000090861,Peripheral nerve
"Neuropathy, hereditary sensory, type IIC",KIF1A,ENSG00000130294,Peripheral nerve
"Neuronopathy, distal hereditary motor, type IIB",HSPB1,ENSG00000106211,Peripheral nerve
"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia",CLPB,ENSG00000162129,Peripheral nerve
"Charcot-Marie-Tooth disease, recessive intermediate, A",GDAP1,ENSG00000104381,Peripheral nerve
Amyotrophic lateral sclerosis 11,FIG4,ENSG00000112367,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4F",PRX,ENSG00000105227,Peripheral nerve
"Spastic paraplegia 2, X-linked",PLP1,ENSG00000123560,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2B",RAB7A,ENSG00000075785,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type VIII",PRDM12,ENSG00000130711,Peripheral nerve
Dejerine-Sottas disease,MPZ,ENSG00000158887,Peripheral nerve
Dejerine-Sottas disease,EGR2,ENSG00000122877,Peripheral nerve
Dejerine-Sottas disease,PMP22,ENSG00000109099,Peripheral nerve
Dejerine-Sottas disease,PRX,ENSG00000105227,Peripheral nerve
"Spastic paraplegia 44, autosomal recessive",GJC2,ENSG00000198835,Peripheral nerve
"Spinal muscular atrophy, lower extremity-predominant 1, AD",DYNC1H1,ENSG00000197102,Peripheral nerve
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Peripheral nerve
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Peripheral nerve
"Dyskeratosis congenita, autosomal recessive 1",NOP10,ENSG00000182117,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal recessive 5",RTEL1,ENSG00000258366,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal dominant 4",RTEL1,ENSG00000258366,Digestive system-Esophagus
Feingold syndrome 1,MYCN,ENSG00000134323,Digestive system-Esophagus
"Dyskeratosis congenita, X-linked",DKC1,ENSG00000130826,Digestive system-Esophagus
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3",RTEL1,ENSG00000258366,Digestive system-Esophagus
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4",PARN,ENSG00000140694,Digestive system-Esophagus
"Opitz GBBB syndrome, type II",SPECC1L,ENSG00000100014,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal dominant 3",TINF2,ENSG00000092330,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal recessive 2",NHP2,ENSG00000145912,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal recessive 6",PARN,ENSG00000140694,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal recessive 3",WRAP53,ENSG00000141499,Digestive system-Esophagus
Feingold syndrome 2,FGLDS2,,Digestive system-Esophagus
"Dyskeratosis congenita, autosomal dominant 1",TERC,ENSG00000270141,Digestive system-Esophagus
Revesz syndrome,TINF2,ENSG00000092330,Digestive system-Esophagus
"Opitz GBBB syndrome, type I",MID1,ENSG00000101871,Digestive system-Esophagus
Hypogonadotropic hypogonadism 11 with or without anosmia,TACR3,ENSG00000169836,Pituitary
"Pituitary hormone deficiency, combined, 1",POU1F1,ENSG00000064835,Pituitary
"Pituitary hormone deficiency, combined, 6",OTX2,ENSG00000165588,Pituitary
"Pituitary hormone deficiency, combined, 4",LHX4,ENSG00000121454,Pituitary
"Pituitary hormone deficiency, combined, 5",HESX1,ENSG00000163666,Pituitary
Septooptic dysplasia,HESX1,ENSG00000163666,Pituitary
Growth hormone deficiency with pituitary anomalies,HESX1,ENSG00000163666,Pituitary
Hypogonadotropic hypogonadism 23 with or without anosmia,LHB,ENSG00000104826,Pituitary
"Precocious puberty, central, 2",MKRN3,ENSG00000179455,Pituitary
Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1),ANOS1,ENSG00000011201,Pituitary
Hypogonadotropic hypogonadism 17 with or without anosmia,SPRY4,ENSG00000187678,Pituitary
Hypogonadotropic hypogonadism 18 with or without anosmia,IL17RD,ENSG00000144730,Pituitary
Hypogonadotropic hypogonadism 2 with or without anosmia,FGFR1,ENSG00000077782,Pituitary
Hypogonadotropic hypogonadism 9 with or without anosmia,NSMF,ENSG00000165802,Pituitary
Hypogonadotropic hypogonadism 10 with or without anosmia,TAC3,ENSG00000166863,Pituitary
Hypogonadotropic hypogonadism 24 without anosmia,FSHB,ENSG00000131808,Pituitary
Hypogonadotropic hypogonadism 8 with or without anosmia,KISS1R,ENSG00000116014,Pituitary
Multiple endocrine neoplasia IIA,RET,ENSG00000165731,Pituitary
Hypogonadotropic hypogonadism 3 with or without anosmia,PROKR2,ENSG00000101292,Pituitary
Hypogonadotropic hypogonadism 14 with or without anosmia,WDR11,ENSG00000120008,Pituitary
Hypogonadotropic hypogonadism 4 with or without anosmia,PROK2,ENSG00000163421,Pituitary
"Pituitary hormone deficiency, combined, 3",LHX3,ENSG00000107187,Pituitary
Hypogonadotropic hypogonadism 6 with or without anosmia,FGF8,ENSG00000107831,Pituitary
Hypogonadotropic hypogonadism 19 with or without anosmia,DUSP6,ENSG00000139318,Pituitary
Multiple endocrine neoplasia 1,MEN1,ENSG00000133895,Pituitary
"Hypogonadotropic hypogonadism 22, with or without anosmia",FEZF1,ENSG00000128610,Pituitary
"Multiple endocrine neoplasia, type IV",CDKN1B,ENSG00000111276,Pituitary
Multiple endocrine neoplasia IIB,RET,ENSG00000165731,Pituitary
"Pituitary hormone deficiency, combined, 2",PROP1,ENSG00000175325,Pituitary
Hypogonadotropic hypogonadism 21 with anosmia,FLRT3,ENSG00000125848,Pituitary
Hypogonadotropic hypogonadism 20 with or without anosmia,FGF17,ENSG00000158815,Pituitary
Hypogonadotropic hypogonadism 7 without anosmia,GNRHR,ENSG00000109163,Pituitary
Hypogonadotropic hypogonadism 5 with or without anosmia,CHD7,ENSG00000171316,Pituitary
"Pituitary adenoma 1, multiple types",AIP,ENSG00000110711,Pituitary
Pituitary adenoma predisposition,AIP,ENSG00000110711,Pituitary
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",FUS,ENSG00000089280,Brain-Cortex
Amyotrophic lateral sclerosis 21,MATR3,ENSG00000280987,Brain-Cortex
"Charcot-Marie-Tooth disease, axonal, type 2X",SPG11,ENSG00000104133,Brain-Cortex
Parkinson disease 1,SNCA,ENSG00000145335,Brain-Cortex
Spinocerebellar ataxia 36,NOP56,ENSG00000101361,Brain-Cortex
"{Amyotrophic lateral sclerosis, susceptibility to, 13}",ATXN2,ENSG00000204842,Brain-Cortex
"{Amyotrophic lateral sclerosis, susceptibility to, 13}",ATXN2,ENSG00000204842,Brain-Cortex
Spinocerebellar ataxia 2,ATXN2,ENSG00000204842,Brain-Cortex
Spinocerebellar ataxia 2,ATXN2,ENSG00000204842,Brain-Cortex
Neurodegeneration with brain iron accumulation 2B,PLA2G6,ENSG00000184381,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 6",TUBB,ENSG00000196230,Brain-Cortex
"Amyotrophic lateral sclerosis 2, juvenile",ALS2,ENSG00000003393,Brain-Cortex
"Amyotrophic lateral sclerosis 4, juvenile",SETX,ENSG00000107290,Brain-Cortex
"Frontotemporal lobar degeneration, TARDBP-related",TARDBP,ENSG00000120948,Brain-Cortex
"Amyotrophic lateral sclerosis 10, with or without FTD",TARDBP,ENSG00000120948,Brain-Cortex
Spinocerebellar ataxia 13,KCNC3,ENSG00000131398,Brain-Cortex
"Mental retardation, autosomal dominant 13",DYNC1H1,ENSG00000197102,Brain-Cortex
Spinocerebellar ataxia 12,PPP2R2B,ENSG00000156475,Brain-Cortex
"Striatonigral degeneration, childhood-onset",VAC14,ENSG00000103043,Brain-Cortex
"{Amyotrophic lateral sclerosis, susceptibility to}",DCTN1,ENSG00000204843,Brain-Cortex
"{Amyotrophic lateral sclerosis, susceptibility to}",PRPH,ENSG00000135406,Brain-Cortex
Amyotrophic lateral sclerosis 1,SOD1,ENSG00000142168,Brain-Cortex
"?{Amyotrophic lateral sclerosis, susceptibility to}",NEFH,ENSG00000100285,Brain-Cortex
Spinocerebellar ataxia 27,FGF14,ENSG00000102466,Brain-Cortex
Developemental and epileptic encephalopathy 42,CACNA1A,ENSG00000141837,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 5",TUBB2A,ENSG00000137267,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 7",TUBB2B,ENSG00000137285,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 8",TUBA8,ENSG00000183785,Brain-Cortex
Giant axonal neuropathy-1,GAN,ENSG00000261609,Brain-Cortex
Amyotrophic lateral sclerosis 18,PFN1,ENSG00000108518,Brain-Cortex
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1,VCP,ENSG00000165280,Brain-Cortex
"Parkinson disease 14, autosomal recessive",PLA2G6,ENSG00000184381,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,CHCHD10,ENSG00000250479,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,CHCHD10,ENSG00000250479,Brain-Cortex
"Charcot-Marie-Tooth disease, type 2Y",VCP,ENSG00000165280,Brain-Cortex
"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia",UBQLN2,ENSG00000188021,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 2",KIF5C,ENSG00000168280,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 1",TUBB3,ENSG00000258947,Brain-Cortex
"Symmetric circumferential skin creases, congenital, 1",TUBB,ENSG00000196230,Brain-Cortex
Brown-Vialetto-Van Laere syndrome 2,SLC52A2,ENSG00000185803,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 3",KIF2A,ENSG00000068796,Brain-Cortex
"Cortical dysplasia, complex, with other brain malformations 4",TUBG1,ENSG00000131462,Brain-Cortex
Amyotrophic lateral sclerosis 9,ANG,ENSG00000214274,Brain-Cortex
Spinocerebellar ataxia 15,ITPR1,ENSG00000150995,Brain-Cortex
Spinocerebellar ataxia 14,PRKCG,ENSG00000126583,Brain-Cortex
"Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant",BICD2,ENSG00000185963,Brain-Cortex
"Spastic paraplegia 11, autosomal recessive",SPG11,ENSG00000104133,Brain-Cortex
"Striatal degeneration, autosomal dominant",PDE8B,ENSG00000113231,Brain-Cortex
Spinocerebellar ataxia 28,AFG3L2,ENSG00000141385,Brain-Cortex
Spinocerebellar ataxia 23,PDYN,ENSG00000101327,Brain-Cortex
"Episodic ataxia, type 2",CACNA1A,ENSG00000141837,Brain-Cortex
Spinocerebellar ataxia 10,ATXN10,ENSG00000130638,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,C9orf72,ENSG00000147894,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,C9orf72,ENSG00000147894,Brain-Cortex
Amyotrophic lateral sclerosis 20,HNRNPA1,ENSG00000135486,Brain-Cortex
Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,TUBA4A,ENSG00000127824,Brain-Cortex
Machado-Joseph disease,ATXN3,ENSG00000066427,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,TBK1,ENSG00000183735,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,TBK1,ENSG00000183735,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 3,SQSTM1,ENSG00000161011,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 3,SQSTM1,ENSG00000161011,Brain-Cortex
"Parkinson disease 6, early onset",PINK1,ENSG00000158828,Brain-Cortex
"Precocious puberty, central, 2",MKRN3,ENSG00000179455,Brain-Cortex
Spinal muscular atrophy with congenital bone fractures 1,TRIP4,ENSG00000103671,Brain-Cortex
"Striatonigral degeneration, infantile",NUP62,ENSG00000213024,Brain-Cortex
Spinocerebellar ataxia 35,TGM6,ENSG00000166948,Brain-Cortex
"Spastic ataxia 5, autosomal recessive",AFG3L2,ENSG00000141385,Brain-Cortex
"Parkinson disease 20, early-onset",SYNJ1,ENSG00000159082,Brain-Cortex
"Parkinson disease 22, autosomal dominant",CHCHD2,ENSG00000106153,Brain-Cortex
Spinocerebellar ataxia 5,SPTBN2,ENSG00000173898,Brain-Cortex
Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia,OPTN,ENSG00000123240,Brain-Cortex
Spinocerebellar ataxia 34,ELOVL4,ENSG00000118402,Brain-Cortex
Brugada syndrome 9,KCND3,ENSG00000171385,Brain-Cortex
"Amyotrophic lateral sclerosis 5, juvenile",SPG11,ENSG00000104133,Brain-Cortex
Spinocerebellar ataxia 17,TBP,ENSG00000112592,Brain-Cortex
Spinocerebellar ataxia 1,ATXN1,ENSG00000124788,Brain-Cortex
Warburg micro syndrome 1,RAB3GAP1,ENSG00000115839,Brain-Cortex
"Parkinson disease, juvenile, type 2",PRKN,ENSG00000185345,Brain-Cortex
"Parkinson disease 19b, early-onset",DNAJC6,ENSG00000116675,Brain-Cortex
"Parkinson disease 19a, juvenile-onset",DNAJC6,ENSG00000116675,Brain-Cortex
Spinocerebellar ataxia 21,TMEM240,ENSG00000205090,Brain-Cortex
Amyotrophic lateral sclerosis 8,VAPB,ENSG00000124164,Brain-Cortex
Spinocerebellar ataxia 38,ELOVL5,ENSG00000012660,Brain-Cortex
Warburg micro syndrome 3,RAB18,ENSG00000099246,Brain-Cortex
Warburg micro syndrome 2,RAB3GAP2,ENSG00000118873,Brain-Cortex
"Spinal muscular atrophy, lower extremity-predominant 1, AD",DYNC1H1,ENSG00000197102,Brain-Cortex
Spinocerebellar ataxia 42,CACNA1G,ENSG00000006283,Brain-Cortex
"Parkinson disease 23, autosomal recessive, early onset",VPS13C,ENSG00000129003,Brain-Cortex
"Charcot-Marie-Tooth disease, axonal, type 2CC",NEFH,ENSG00000100285,Brain-Cortex
"Charcot-Marie-Tooth disease, axonal, type 20",DYNC1H1,ENSG00000197102,Brain-Cortex
Spinocerebellar ataxia 11,TTBK2,ENSG00000128881,Brain-Cortex
Spinocerebellar ataxia 19,KCND3,ENSG00000171385,Brain-Cortex
"Charcot-Marie-Tooth disease, type 4J",FIG4,ENSG00000112367,Brain-Cortex
"Striatal degeneration, autosomal dominant",PDE10A,ENSG00000112541,Brain-Cortex
Baraitser-Winter syndrome 2,ACTG1,ENSG00000184009,Brain-Cortex
Spinocerebellar ataxia 31,BEAN1,ENSG00000166546,Brain-Cortex
Kufor-Rakeb syndrome,ATP13A2,ENSG00000159363,Brain-Cortex
Infantile neuroaxonal dystrophy 1,PLA2G6,ENSG00000184381,Brain-Cortex
Developmental and epileptic encephalopathy 53,SYNJ1,ENSG00000159082,Brain-Cortex
"Spastic paraplegia 78, autosomal recessive",ATP13A2,ENSG00000159363,Brain-Cortex
"Parkinson disease 7, autosomal recessive early-onset",PARK7,ENSG00000116288,Brain-Cortex
Amyotrophic lateral sclerosis 19,ERBB4,ENSG00000178568,Brain-Cortex
Brown-Vialetto-Van Laere syndrome 1,SLC52A3,ENSG00000101276,Brain-Cortex
Parkinson disease 4,SNCA,ENSG00000145335,Brain-Cortex
Baraitser-Winter syndrome 1,ACTB,ENSG00000075624,Brain-Cortex
Amyotrophic lateral sclerosis 11,FIG4,ENSG00000112367,Brain-Cortex
"Spinocerebellar ataxia 29, congenital nonprogressive",ITPR1,ENSG00000150995,Brain-Cortex
Spinocerebellar ataxia 37,DAB1,ENSG00000173406,Brain-Cortex
"Parkinson disease 15, autosomal recessive",FBXO7,ENSG00000100225,Brain-Cortex
Spinocerebellar ataxia 7,ATXN7,ENSG00000163635,Brain-Cortex
Frontotemporal dementia and/or amytrophic lateral sclerosis 7,CHMP2B,ENSG00000083937,Brain-Cortex
Frontotemporal dementia and/or amytrophic lateral sclerosis 7,CHMP2B,ENSG00000083937,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Brain-Cortex
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Brain-Cortex
Warburg micro syndrome 4,TBC1D20,ENSG00000125875,Brain-Cortex
Spinocerebellar ataxia 6,CACNA1A,ENSG00000141837,Brain-Cortex
"Telangiectasia, hereditary hemorrhagic, type 2",ACVRL1,ENSG00000139567,Artery-Aorta
"Aortic aneurysm, familial thoracic 9",MFAP5,ENSG00000197614,Artery-Aorta
"Pulmonary hypertension, primary, 4",KCNK3,ENSG00000171303,Artery-Aorta
"Pulmonary hypertension, primary, 3",CAV1,ENSG00000105974,Artery-Aorta
"Pulmonary hypertension, primary, 2",SMAD9,ENSG00000120693,Artery-Aorta
Singleton-Merten syndrome 1,IFIH1,ENSG00000115267,Artery-Aorta
"Transposition of the great arteries, dextro-looped 1",MED13L,ENSG00000123066,Artery-Aorta
Loeys-Dietz syndrome 4,TGFB2,ENSG00000092969,Artery-Aorta
"Aortic aneurysm, familial thoracic 8",PRKG1,ENSG00000185532,Artery-Aorta
"Pulmonary hypertension, familial primary, 1, with or without HHT",BMPR2,ENSG00000204217,Artery-Aorta
"Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated",BMPR2,ENSG00000204217,Artery-Aorta
"Telangiectasia, hereditary hemorrhagic, type 1",ENG,ENSG00000106991,Artery-Aorta
Patent ductus arteriosus 2,TFAP2B,ENSG00000008196,Artery-Aorta
"Aortic aneurysm, familial thoracic 4",MYH11,ENSG00000133392,Artery-Aorta
Patent ductus arteriosus 3,PRDM6,ENSG00000061455,Artery-Aorta
"Aortic aneurysm, familial thoracic 10",LOX,ENSG00000113083,Artery-Aorta
Aicardi-Goutieres syndrome 7,IFIH1,ENSG00000115267,Artery-Aorta
Singleton-Merten syndrome 2,DDX58,ENSG00000107201,Artery-Aorta
Loeys-Dietz syndrome 5,TGFB3,ENSG00000119699,Artery-Aorta
"Arterial calcification, generalized, of infancy, 1",ENPP1,ENSG00000197594,Artery-Aorta
"Colorectal cancer, hereditary nonpolyposis, type 6",TGFBR2,ENSG00000163513,Artery-Aorta
"Arterial calcification, generalized, of infancy, 2",ABCC6,ENSG00000091262,Artery-Aorta
"Aortic aneurysm, familial thoracic 6",ACTA2,ENSG00000107796,Artery-Aorta
Loeys-Dietz syndrome 2,TGFBR2,ENSG00000163513,Artery-Aorta
Loeys-Dietz syndrome 2,TGFBR2,ENSG00000163513,Artery-Aorta
"Congenital heart defects, multiple types, 6",GDF1,ENSG00000130283,Artery-Aorta
Arrhythmogenic right ventricular dysplasia 1,TGFB3,ENSG00000119699,Artery-Aorta
Loeys-Dietz syndrome 1,TGFBR1,ENSG00000106799,Artery-Aorta
Loeys-Dietz syndrome 1,TGFBR1,ENSG00000106799,Artery-Aorta
Loeys-Dietz syndrome 3,SMAD3,ENSG00000166949,Artery-Aorta
"Telangiectasia, hereditary hemorrhagic, type 5",GDF2,ENSG00000263761,Artery-Aorta
"Aortic aneurysm, familial thoracic 7",MYLK,ENSG00000065534,Artery-Aorta
Thrombophilia due to HRG deficiency,HRG,ENSG00000113905,Blood and bone marrow
"{Aplastic anemia, susceptibility to}",SBDS,ENSG00000126524,Blood and bone marrow
Aplastic anemia,NBN,ENSG00000104320,Blood and bone marrow
Aplastic anemia,PRF1,ENSG00000180644,Blood and bone marrow
{Aplastic anemia},IFNG,ENSG00000111537,Blood and bone marrow
Thrombophilia due to antithrombin III deficiency,SERPINC1,ENSG00000117601,Blood and bone marrow
Platelet glycoprotein IV deficiency,CD36,ENSG00000135218,Blood and bone marrow
"Hemochromatosis, type 3",TFR2,ENSG00000106327,Blood and bone marrow
"Retinoblastoma, trilateral",RB1,ENSG00000139687,Blood and bone marrow
Retinoblastoma,RB1,ENSG00000139687,Blood and bone marrow
Immunoglobulin A deficiency 2,TNFRSF13B,ENSG00000240505,Blood and bone marrow
"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis",CA2,ENSG00000104267,Blood and bone marrow
"{Thromboembolism, susceptibility to}",MTHFR,ENSG00000177000,Blood and bone marrow
"{Venous thrombosis, protection against}",F13A1,ENSG00000124491,Blood and bone marrow
"{Venous thromboembolism, susceptibility to}",HABP2,ENSG00000148702,Blood and bone marrow
Thrombophilia due to thrombin defect,F2,ENSG00000180210,Blood and bone marrow
"Bleeding disorder, platelet-type, 14",BDPLT14,,Blood and bone marrow
Thrombophilia due to activated protein C resistance,F5,ENSG00000198734,Blood and bone marrow
"{Thrombophilia, susceptibility to, due to factor V Leiden}",F5,ENSG00000198734,Blood and bone marrow
"Spinocerebellar ataxia, autosomal recessive 23",TDP2,ENSG00000111802,Blood and bone marrow
Gastrointestinal defects and immunodeficiency syndrome,TTC7A,ENSG00000068724,Blood and bone marrow
"Agammaglobulinemia 8, autosomal dominant",TCF3,ENSG00000071564,Blood and bone marrow
Chanarin-Dorfman syndrome,ABHD5,ENSG00000011198,Blood and bone marrow
Bone marrow failure syndrome 3,DNAJC21,ENSG00000168724,Blood and bone marrow
?Hermansky-Pudlak syndrome 10,AP3D1,ENSG00000065000,Blood and bone marrow
Immunodeficiency 67,IRAK4,ENSG00000198001,Blood and bone marrow
Multiple congenital anomalies-hypotonia-seizures syndrome 2,PIGA,ENSG00000165195,Blood and bone marrow
